<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
28/02/15;01:00:00;61.4590000;61.6827000;60.5479000;60.5479000;220
28/02/15;02:00:00;61.5268000;61.5268000;61.5268000;61.5268000;9
28/02/15;03:00:00;61.0400000;61.5268000;61.0400000;61.5268000;10
01/03/15;22:00:00;61.7806000;61.7950000;61.7806000;61.7950000;12
01/03/15;23:00:00;61.7950000;61.7950000;61.6333000;61.7432000;24
02/03/15;00:00:00;61.0400000;61.6618000;61.0400000;61.6494000;24
02/03/15;01:00:00;61.4175000;63.8614000;61.4175000;63.8534000;26
02/03/15;02:00:00;62.2275000;63.8200000;61.0400000;61.0400000;23
02/03/15;03:00:00;61.6370000;62.2275000;61.0400000;61.0400000;24
02/03/15;04:00:00;61.0400000;62.2275000;61.0400000;61.7129000;25
02/03/15;05:00:00;62.2275000;62.2275000;61.0400000;61.0400000;24
02/03/15;06:00:00;61.6946000;62.4437000;61.0400000;61.7038000;22
02/03/15;07:00:00;62.4437000;62.4437000;61.0400000;61.5391000;28
02/03/15;08:00:00;61.7450000;61.7455000;60.7995000;61.6463000;201
02/03/15;09:00:00;61.0950000;61.6575000;60.9991000;60.9991000;83
02/03/15;10:00:00;60.9991000;62.4771000;60.9628000;61.3633000;361
02/03/15;11:00:00;61.8619000;62.5161000;61.4100000;62.2912000;37040
02/03/15;12:00:00;62.2908000;62.3628000;61.9990000;62.0528000;34507
02/03/15;13:00:00;62.0220000;62.1949000;61.8700000;61.9964000;35085
02/03/15;14:00:00;61.9964000;62.1210000;61.9571000;62.0902000;27429
02/03/15;15:00:00;62.0902000;62.2829000;61.9869000;62.2227000;29744
02/03/15;16:00:00;62.1929000;62.3684000;62.1243000;62.3239000;30434
02/03/15;17:00:00;62.3239000;62.4299000;61.9548000;62.3282000;28849
02/03/15;18:00:00;62.3508000;62.4253000;62.0483000;62.1959000;25301
02/03/15;19:00:00;62.1836000;62.2888000;62.0550000;62.2029000;21119
02/03/15;20:00:00;62.2239000;62.2688000;61.9600000;62.2116000;14682
02/03/15;21:00:00;62.2116000;62.2551000;61.9280000;62.1866000;11942
02/03/15;22:00:00;62.2023000;62.2665000;61.9170000;62.2349000;12092
02/03/15;23:00:00;62.2282000;62.5431000;61.9970000;62.5266000;14698
03/03/15;00:00:00;62.5266000;62.7450000;62.2500000;62.5451000;12441
03/03/15;01:00:00;62.7200000;62.7860000;62.1249000;62.1831000;703
03/03/15;02:00:00;62.4200000;62.5805000;62.0233000;62.4846000;580
03/03/15;03:00:00;62.4846000;62.5926000;62.3044000;62.4911000;616
03/03/15;04:00:00;62.3201000;62.5945000;62.2170000;62.4761000;778
03/03/15;05:00:00;62.2170000;62.6700000;62.2170000;62.4481000;982
03/03/15;06:00:00;62.6700000;62.6700000;62.4336000;62.4386000;1296
03/03/15;07:00:00;62.6700000;62.6700000;62.4101000;62.4496000;1418
03/03/15;08:00:00;62.6100000;62.6700000;62.2406000;62.2486000;1383
03/03/15;09:00:00;62.2486000;62.5598000;61.3368000;62.1366000;1466
03/03/15;10:00:00;62.3950000;62.5700000;61.2832000;62.2011000;1377
03/03/15;11:00:00;62.3791000;62.5128000;62.1170000;62.3699000;30463
03/03/15;12:00:00;62.3698000;62.4444000;61.2988000;62.3546000;29945
03/03/15;13:00:00;62.3427000;62.3840000;62.0997000;62.1316000;27167
03/03/15;14:00:00;62.1206000;62.2981000;62.1133000;62.2491000;25552
03/03/15;15:00:00;62.2491000;62.3169000;62.1350000;62.1591000;21629
03/03/15;16:00:00;62.1591000;62.3904000;61.9744000;62.3535000;29462
03/03/15;17:00:00;62.3591000;62.3619000;62.0651000;62.2119000;26805
03/03/15;18:00:00;62.2074000;62.2750000;62.0416000;62.1416000;27876
03/03/15;19:00:00;62.1166000;62.1549000;61.9954000;62.1066000;15032
03/03/15;20:00:00;62.1066000;62.1391000;60.6963000;61.8166000;16144
03/03/15;21:00:00;61.8529000;61.9788000;60.7978000;61.9166000;13981
03/03/15;22:00:00;61.9166000;62.0420000;61.6810000;61.9966000;12613
03/03/15;23:00:00;61.9966000;62.0287000;61.6930000;61.8666000;13172
04/03/15;00:00:00;61.8666000;61.9777000;61.7410000;61.8446000;11463
04/03/15;01:00:00;61.9701000;62.2100000;61.4739000;61.4741000;592
04/03/15;02:00:00;62.2100000;62.2100000;61.3580000;61.8311000;411
04/03/15;03:00:00;61.9401000;61.9410000;61.6839000;61.8261000;428
04/03/15;04:00:00;61.8329000;63.0430000;60.8750000;61.8276000;1322
04/03/15;05:00:00;61.8281000;62.0762000;61.8195000;61.8361000;1006
04/03/15;06:00:00;61.9411000;62.0759000;61.8006000;61.8031000;716
04/03/15;07:00:00;61.9418000;61.9433000;61.7216000;61.9381000;527
04/03/15;08:00:00;61.9418000;61.9425000;61.6847000;61.9406000;24
04/03/15;09:00:00;61.9070000;61.9865000;60.4850000;61.6836000;370
04/03/15;10:00:00;61.6836000;62.2569000;61.3750000;61.7916000;1351
04/03/15;11:00:00;61.7916000;62.0085000;61.1666000;61.7661000;28517
04/03/15;12:00:00;61.7661000;61.8911000;60.7613000;61.7146000;24598
04/03/15;13:00:00;61.7146000;61.8208000;61.6930000;61.7466000;21896
04/03/15;14:00:00;61.7466000;61.9390000;61.7117000;61.8871000;27267
04/03/15;15:00:00;61.8871000;61.9340000;61.7228000;61.7886000;20461
04/03/15;16:00:00;61.7899000;61.8331000;61.5182000;61.7839000;20328
04/03/15;17:00:00;61.7839000;61.8956000;61.4487000;61.7737000;20922
04/03/15;18:00:00;61.7737000;62.0820000;61.7488000;61.8633000;23236
04/03/15;19:00:00;62.0244000;62.3476000;61.8633000;62.1824000;19953
04/03/15;20:00:00;62.1824000;62.2680000;61.9590000;62.0919000;16856
04/03/15;21:00:00;62.0919000;62.1470000;61.8410000;62.0399000;16296
04/03/15;22:00:00;62.0399000;62.1054000;61.8980000;62.0259000;14091
04/03/15;23:00:00;62.0259000;62.0439000;61.8200000;61.9724000;15893
05/03/15;00:00:00;61.9724000;62.0070000;61.7323000;61.8330000;9515
05/03/15;01:00:00;61.8309000;61.9482000;61.4937000;61.4937000;563
05/03/15;02:00:00;61.4937000;61.9629000;61.4000000;61.7846000;442
05/03/15;03:00:00;61.7400000;61.9409000;61.7400000;61.7891000;465
05/03/15;04:00:00;61.7400000;61.9628000;61.7400000;61.7861000;611
05/03/15;05:00:00;61.7400000;61.9633000;61.6500000;61.7086000;747
05/03/15;06:00:00;61.7131000;61.9941000;61.6981000;61.7081000;565
05/03/15;07:00:00;61.7086000;61.7311000;61.7056000;61.7221000;729
05/03/15;08:00:00;61.7276000;62.0491000;61.5750000;61.6756000;934
05/03/15;09:00:00;61.8175000;62.0359000;61.6600000;61.6921000;748
05/03/15;10:00:00;61.9073000;62.2015000;61.5825000;61.8154000;2937
05/03/15;11:00:00;61.8147000;62.2371000;61.7250000;61.7944000;27100
05/03/15;12:00:00;61.7944000;62.0078000;61.6987000;61.8541000;17301
05/03/15;13:00:00;61.8491000;61.9642000;60.3540000;61.7216000;18084
05/03/15;14:00:00;61.7216000;61.8791000;61.5665000;61.6239000;19426
05/03/15;15:00:00;61.6239000;61.7605000;61.4215000;61.4861000;24591
05/03/15;16:00:00;61.4905000;61.5960000;61.1875000;61.2649000;26992
05/03/15;17:00:00;61.2865000;61.2902000;60.5475000;60.8123000;27406
05/03/15;18:00:00;60.8134000;60.9898000;60.5255000;60.7182000;28185
05/03/15;19:00:00;60.7183000;60.9296000;60.5488000;60.7979000;23293
05/03/15;20:00:00;60.7979000;60.9083000;60.6612000;60.8154000;15306
05/03/15;21:00:00;60.8159000;60.9447000;60.6800000;60.8206000;14581
05/03/15;22:00:00;60.8216000;61.0144000;60.7040000;60.8164000;14107
05/03/15;23:00:00;60.8316000;60.9814000;60.6260000;60.7616000;14826
06/03/15;00:00:00;60.7616000;60.9625000;60.6700000;60.8299000;9353
06/03/15;01:00:00;60.8233000;61.1127000;60.6096000;60.6096000;947
06/03/15;02:00:00;60.8430000;61.1089000;60.7200000;60.7456000;799
06/03/15;03:00:00;60.7200000;61.1113000;60.7200000;60.7446000;966
06/03/15;04:00:00;60.7446000;61.1341000;60.7200000;60.7751000;1100
06/03/15;05:00:00;60.8913000;61.0936000;60.0600000;60.7576000;888
06/03/15;06:00:00;60.7850000;61.1092000;60.5801000;60.5986000;767
06/03/15;07:00:00;60.8400000;61.1112000;59.8250000;60.4936000;821
06/03/15;08:00:00;60.5800000;61.1179000;60.3911000;60.4026000;1285
06/03/15;09:00:00;60.4026000;60.9950000;59.0098000;59.7981000;668
06/03/15;10:00:00;59.7981000;60.8912000;58.9044000;60.3049000;889
06/03/15;11:00:00;60.3049000;60.4445000;59.6495000;59.8864000;30466
06/03/15;12:00:00;59.8869000;59.9891000;59.4563000;59.5356000;32041
06/03/15;13:00:00;59.5465000;59.7429000;59.2559000;59.6639000;28545
06/03/15;14:00:00;59.6639000;59.8423000;59.5388000;59.7601000;29934
06/03/15;15:00:00;59.7483000;59.7657000;59.4086000;59.5549000;26305
06/03/15;16:00:00;59.5549000;59.6840000;59.3744000;59.5069000;24415
