<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;60;20170228;010000;58.0869000;58.1266000;58.0400000;58.1120000;2983
USDRUB;60;20170228;020000;58.1070000;58.2762000;58.0571000;58.1167000;1159
USDRUB;60;20170228;030000;58.1214000;58.2132000;58.0928000;58.0961000;2115
USDRUB;60;20170228;040000;58.1763000;58.1992000;58.0900000;58.0942000;2383
USDRUB;60;20170228;050000;58.1783000;58.2076000;57.9778000;57.9794000;3859
USDRUB;60;20170228;060000;58.0922000;58.1175000;57.9165000;57.9172000;3106
USDRUB;60;20170228;070000;58.0332000;58.0332000;57.8250000;57.8260000;2500
USDRUB;60;20170228;080000;57.8845000;57.9149000;57.8220000;57.8400000;1253
USDRUB;60;20170228;090000;57.8946000;57.9194000;57.8070000;57.8580000;1925
USDRUB;60;20170228;100000;57.8723000;57.9396000;57.7700000;57.8484000;3707
USDRUB;60;20170228;110000;57.8999000;58.0338000;57.8550000;57.9571000;23295
USDRUB;60;20170228;120000;57.9578000;57.9664000;57.8713000;57.9196000;20577
USDRUB;60;20170228;130000;57.9179000;57.9680000;57.7888000;57.9456000;20694
USDRUB;60;20170228;140000;57.9325000;58.0211000;57.8663000;58.0052000;18611
USDRUB;60;20170228;150000;57.9965000;58.2132000;57.9750000;58.1231000;23672
USDRUB;60;20170228;160000;58.1205000;58.2050000;58.0100000;58.1923000;21312
USDRUB;60;20170228;170000;58.1927000;58.2897000;58.1088000;58.1912000;21645
USDRUB;60;20170228;180000;58.1992000;58.2413000;57.9938000;58.2325000;23543
USDRUB;60;20170228;190000;58.2423000;58.4390000;58.1773000;58.4280000;22711
USDRUB;60;20170228;200000;58.4170000;58.4987000;58.2980000;58.4510000;21189
USDRUB;60;20170228;210000;58.4357000;58.4820000;58.3470000;58.4410000;14384
USDRUB;60;20170228;220000;58.4410000;58.4430000;58.1670000;58.2402000;14089
USDRUB;60;20170228;230000;58.2391000;58.3213000;58.1680000;58.3040000;14428
USDRUB;60;20170301;000000;58.3040000;58.3256000;58.2170000;58.3132000;12535
USDRUB;60;20170301;010000;58.3138000;58.4234000;58.2500000;58.2935000;4408
USDRUB;60;20170301;020000;58.1652000;58.3830000;58.0918000;58.2900000;843
USDRUB;60;20170301;030000;58.2900000;58.3857000;58.2620000;58.2900000;1444
USDRUB;60;20170301;040000;58.3586000;58.4044000;58.2570000;58.2900000;2210
USDRUB;60;20170301;050000;58.2900000;58.4069000;57.5894000;58.3162000;3033
USDRUB;60;20170301;060000;58.3827000;58.4116000;58.1678000;58.2333000;2432
USDRUB;60;20170301;070000;58.2895000;58.3783000;58.0047000;58.0397000;1607
USDRUB;60;20170301;080000;58.2193000;58.2865000;57.9648000;58.1112000;1770
USDRUB;60;20170301;090000;58.2090000;58.4133000;58.1039000;58.2795000;2802
USDRUB;60;20170301;100000;58.3416000;58.3814000;58.2600000;58.3774000;3568
USDRUB;60;20170301;110000;58.3683000;58.5147000;58.2313000;58.2782000;28122
USDRUB;60;20170301;120000;58.2911000;58.3774000;58.2025000;58.2541000;22051
USDRUB;60;20170301;130000;58.2457000;58.2738000;58.0688000;58.1207000;22593
USDRUB;60;20170301;140000;58.1185000;58.1867000;58.0038000;58.1290000;20692
USDRUB;60;20170301;150000;58.1290000;58.1393000;57.9525000;58.0613000;21159
USDRUB;60;20170301;160000;58.0450000;58.3039000;58.0138000;58.2990000;19567
USDRUB;60;20170301;170000;58.2990000;58.4320000;58.2263000;58.3657000;22742
USDRUB;60;20170301;180000;58.3663000;58.4560000;58.2688000;58.4070000;23934
USDRUB;60;20170301;190000;58.4020000;58.5972000;58.3438000;58.4450000;27665
USDRUB;60;20170301;200000;58.4453000;58.4934000;58.1980000;58.2860000;20689
USDRUB;60;20170301;210000;58.2850000;58.3170000;58.1350000;58.2974000;17466
USDRUB;60;20170301;220000;58.2974000;58.3800000;58.1750000;58.2455000;13807
USDRUB;60;20170301;230000;58.2486000;58.3288000;58.1770000;58.3140000;14456
USDRUB;60;20170302;000000;58.3140000;58.3245000;58.1889000;58.2020000;13262
USDRUB;60;20170302;010000;58.2643000;58.3119000;58.0960000;58.0960000;2938
USDRUB;60;20170302;020000;58.1543000;58.2950000;58.0071000;58.1176000;1056
USDRUB;60;20170302;030000;58.2799000;58.2799000;58.0950000;58.1313000;1041
USDRUB;60;20170302;040000;58.2528000;58.2829000;58.1216000;58.1227000;957
USDRUB;60;20170302;050000;58.2523000;58.2708000;58.1178000;58.1186000;1100
USDRUB;60;20170302;060000;58.2331000;58.2707000;58.1179000;58.1188000;685
USDRUB;60;20170302;070000;58.2576000;58.2583000;58.0433000;58.0900000;1221
USDRUB;60;20170302;080000;58.1593000;58.2010000;58.0454000;58.1511000;1118
USDRUB;60;20170302;090000;58.1797000;58.2878000;58.1125000;58.1234000;1510
USDRUB;60;20170302;100000;58.2579000;58.5363000;58.1228000;58.4148000;3708
USDRUB;60;20170302;110000;58.4300000;58.4813000;58.2320000;58.3655000;22867
USDRUB;60;20170302;120000;58.3655000;58.5760000;58.3238000;58.4323000;26736
USDRUB;60;20170302;130000;58.4305000;58.5673000;58.3925000;58.5409000;24209
USDRUB;60;20170302;140000;58.5409000;58.5608000;58.4238000;58.5450000;20448
USDRUB;60;20170302;150000;58.5450000;58.5650000;58.4550000;58.5310000;17844
USDRUB;60;20170302;160000;58.5310000;58.7614000;58.4525000;58.6959000;25818
USDRUB;60;20170302;170000;58.6969000;58.7560000;58.5975000;58.6545000;27998
USDRUB;60;20170302;180000;58.6533000;58.8425000;58.6338000;58.6880000;27901
USDRUB;60;20170302;190000;58.6886000;58.7187000;58.5693000;58.6272000;22638
USDRUB;60;20170302;200000;58.6272000;58.6960000;58.5060000;58.6749000;18848
USDRUB;60;20170302;210000;58.6803000;58.7732000;58.6080000;58.7540000;14902
USDRUB;60;20170302;220000;58.7440000;58.8380000;58.6850000;58.8250000;12369
USDRUB;60;20170302;230000;58.8250000;58.8666000;58.7700000;58.8501000;10226
USDRUB;60;20170303;000000;58.8501000;58.8555000;58.5196000;58.8296000;11052
USDRUB;60;20170303;010000;58.8225000;58.8585000;58.5870000;58.6372000;4660
USDRUB;60;20170303;020000;58.7331000;58.8410000;58.5573000;58.6447000;1058
USDRUB;60;20170303;030000;58.6802000;58.8239000;58.6011000;58.6017000;1088
USDRUB;60;20170303;040000;58.7322000;58.8216000;58.4450000;58.4460000;1151
USDRUB;60;20170303;050000;58.6373000;58.8092000;58.4428000;58.7404000;1593
USDRUB;60;20170303;060000;58.7831000;58.7848000;58.6850000;58.7108000;1379
USDRUB;60;20170303;070000;58.7654000;58.7835000;58.6450000;58.7114000;1301
USDRUB;60;20170303;080000;58.7157000;58.7949000;58.6400000;58.7187000;2950
USDRUB;60;20170303;090000;58.7284000;58.8177000;58.6600000;58.7870000;2844
USDRUB;60;20170303;100000;58.8106000;58.8799000;58.7370000;58.8640000;4531
USDRUB;60;20170303;110000;58.8785000;59.0016000;58.7338000;58.9400000;27666
USDRUB;60;20170303;120000;58.9417000;58.9690000;58.8300000;58.8890000;21150
USDRUB;60;20170303;130000;58.8890000;58.8930000;58.5500000;58.7660000;26125
USDRUB;60;20170303;140000;58.7617000;58.7768000;58.5625000;58.6357000;18410
USDRUB;60;20170303;150000;58.6390000;58.8865000;58.6050000;58.8790000;20119
USDRUB;60;20170303;160000;58.8773000;58.9097000;58.7113000;58.8210000;23181
USDRUB;60;20170303;170000;58.8336000;58.8336000;58.4450000;58.5410000;25631
USDRUB;60;20170303;180000;58.5410000;58.6366000;58.4513000;58.5324000;25605
USDRUB;60;20170303;190000;58.5365000;58.5792000;58.3325000;58.3799000;22959
USDRUB;60;20170303;200000;58.3837000;58.5424000;58.3375000;58.5105000;19843
USDRUB;60;20170303;210000;58.5242000;58.5462000;58.3751000;58.4190000;17962
USDRUB;60;20170303;220000;58.4078000;58.5064000;58.2526000;58.3176000;23662
USDRUB;60;20170303;230000;58.3148000;58.3225000;58.0726000;58.1890000;17265
USDRUB;60;20170304;000000;58.1932000;58.2867000;58.1139000;58.2314000;16764
USDRUB;60;20170304;010000;58.2428000;58.2954000;58.0880000;58.1150000;1580
USDRUB;60;20170304;020000;58.2241000;58.5200000;58.2241000;58.2858000;21
USDRUB;60;20170304;030000;58.2858000;58.2858000;58.2858000;58.2858000;10
USDRUB;60;20170305;210000;58.2550000;58.2550000;58.2170000;58.2170000;12
USDRUB;60;20170305;220000;58.2170000;58.3205000;58.2170000;58.2688000;13
USDRUB;60;20170305;230000;58.2688000;58.5233000;58.2170000;58.2446000;25
USDRUB;60;20170306;000000;58.2688000;58.5194000;58.2418000;58.2446000;24
USDRUB;60;20170306;010000;58.2688000;58.5269000;58.2170000;58.2480000;25
USDRUB;60;20170306;020000;58.2170000;58.5189000;58.1246000;58.4772000;125
USDRUB;60;20170306;030000;58.3720000;58.4808000;58.1630000;58.2723000;25
USDRUB;60;20170306;040000;58.2828000;58.2828000;56.8663000;58.0600000;1362
USDRUB;60;20170306;050000;58.2658000;58.2788000;57.9609000;58.0945000;1348
USDRUB;60;20170306;060000;58.2250000;58.2905000;58.0844000;58.0851000;1246
USDRUB;60;20170306;070000;58.2640000;58.2669000;58.0841000;58.0853000;932
USDRUB;60;20170306;080000;58.2668000;58.2914000;58.0650000;58.0660000;1525
USDRUB;60;20170306;090000;58.2134000;58.3041000;58.0640000;58.0660000;2300
USDRUB;60;20170306;100000;58.1977000;58.3604000;58.0650000;58.2539000;5905
USDRUB;60;20170306;110000;58.2839000;58.4360000;58.2100000;58.3430000;25336
USDRUB;60;20170306;120000;58.3489000;58.3748000;58.1204000;58.1940000;24344
USDRUB;60;20170306;130000;58.1951000;58.2730000;57.8902000;57.9591000;28509
USDRUB;60;20170306;140000;57.9475000;58.1400000;57.9464000;58.0936000;20833
USDRUB;60;20170306;150000;58.0930000;58.1885000;57.9903000;58.1546000;19597
USDRUB;60;20170306;160000;58.1671000;58.2002000;58.0478000;58.0947000;20295
USDRUB;60;20170306;170000;58.0982000;58.1565000;57.9365000;58.0030000;23379
USDRUB;60;20170306;180000;58.0030000;58.1030000;57.9353000;58.0676000;23558
USDRUB;60;20170306;190000;58.0676000;58.1400000;57.9365000;58.1040000;23718
USDRUB;60;20170306;200000;58.1062000;58.3284000;58.0648000;58.2910000;20687
USDRUB;60;20170306;210000;58.2910000;58.3792000;58.2130000;58.2946000;13954
USDRUB;60;20170306;220000;58.2863000;58.2999000;58.1810000;58.2545000;9044
USDRUB;60;20170306;230000;58.2545000;58.2677000;58.1330000;58.2014000;12233
USDRUB;60;20170307;000000;58.2024000;58.2202000;58.1400000;58.2100000;7712
USDRUB;60;20170307;010000;58.2100000;58.2610000;58.1420000;58.2505000;2621
USDRUB;60;20170307;020000;58.1980000;58.3042000;57.9566000;58.2338000;834
USDRUB;60;20170307;030000;58.2813000;58.2916000;58.2088000;58.2338000;3145
USDRUB;60;20170307;040000;58.2621000;58.3759000;58.2090000;58.2090000;4524
USDRUB;60;20170307;050000;58.2479000;58.2806000;58.2090000;58.2338000;1641
USDRUB;60;20170307;060000;58.2621000;58.2722000;57.9999000;58.1588000;2682
USDRUB;60;20170307;070000;58.2469000;58.2646000;58.0816000;58.1080000;1289
USDRUB;60;20170307;080000;58.2410000;58.2899000;58.0500000;58.2028000;2815
USDRUB;60;20170307;090000;58.2114000;58.2230000;58.1911000;58.2124000;2079
USDRUB;60;20170307;100000;58.2239000;58.2340000;57.9763000;57.9763000;4393
USDRUB;60;20170307;110000;57.9759000;58.3712000;57.8939000;58.2384000;25752
USDRUB;60;20170307;120000;58.2357000;58.2784000;58.0803000;58.1735000;26271
USDRUB;60;20170307;130000;58.1756000;58.2784000;58.0253000;58.1641000;21821
USDRUB;60;20170307;140000;58.1641000;58.2784000;57.9778000;58.0290000;22876
USDRUB;60;20170307;150000;58.0325000;58.2784000;57.9878000;58.1039000;20858
USDRUB;60;20170307;160000;58.1130000;58.2784000;58.0065000;58.0854000;19571
USDRUB;60;20170307;170000;58.0884000;58.2784000;57.9490000;58.0047000;22496
USDRUB;60;20170307;180000;58.0073000;58.2784000;57.8565000;58.0355000;22064
USDRUB;60;20170307;190000;58.0365000;58.1374000;58.0140000;58.0871000;19125
USDRUB;60;20170307;200000;58.0737000;58.1772000;58.0130000;58.1153000;16396
USDRUB;60;20170307;210000;58.1161000;58.1345000;58.0470000;58.0940000;10739
USDRUB;60;20170307;220000;58.1019000;58.1571000;58.0445000;58.1518000;9347
USDRUB;60;20170307;230000;58.1541000;58.1541000;58.0470000;58.1173000;13082
USDRUB;60;20170308;000000;58.1216000;58.1845000;58.0770000;58.1425000;13533
USDRUB;60;20170308;010000;58.1465000;58.2004000;58.0970000;58.1520000;4905
